experiment,run,repetition,seed,serviceTimes [us],serverAddresses,protocol
0,1,1,1,[20390],['192.168.1.105:6666'],quicBaseline
0,1,2,2,[20200],['192.168.1.105:6666'],quicBaseline
0,1,3,3,[20887],['192.168.1.105:6666'],quicBaseline
0,1,4,4,[20530],['192.168.1.105:6666'],quicBaseline
0,1,5,5,[20155],['192.168.1.105:6666'],quicBaseline
0,1,6,6,[20496],['192.168.1.105:6666'],quicBaseline
0,1,7,7,[20288],['192.168.1.105:6666'],quicBaseline
0,1,8,8,[20331],['192.168.1.105:6666'],quicBaseline
0,1,9,9,[20308],['192.168.1.105:6666'],quicBaseline
0,1,10,10,[20213],['192.168.1.105:6666'],quicBaseline
0,1,11,11,[20635],['192.168.1.105:6666'],quicBaseline
0,1,12,12,[20518],['192.168.1.105:6666'],quicBaseline
0,1,13,13,[20566],['192.168.1.105:6666'],quicBaseline
0,1,14,14,[20325],['192.168.1.105:6666'],quicBaseline
0,1,15,15,[20384],['192.168.1.105:6666'],quicBaseline
0,1,16,16,[20207],['192.168.1.105:6666'],quicBaseline
0,1,17,17,[20402],['192.168.1.105:6666'],quicBaseline
0,1,18,18,[20509],['192.168.1.105:6666'],quicBaseline
0,1,19,19,[20742],['192.168.1.105:6666'],quicBaseline
0,1,20,20,[20660],['192.168.1.105:6666'],quicBaseline
0,1,21,21,[20428],['192.168.1.105:6666'],quicBaseline
0,1,22,22,[20152],['192.168.1.105:6666'],quicBaseline
0,1,23,23,[20916],['192.168.1.105:6666'],quicBaseline
0,1,24,24,[20536],['192.168.1.105:6666'],quicBaseline
0,1,25,25,[19833],['192.168.1.105:6666'],quicBaseline
0,1,26,26,[20462],['192.168.1.105:6666'],quicBaseline
0,1,27,27,[20605],['192.168.1.105:6666'],quicBaseline
0,1,28,28,[20677],['192.168.1.105:6666'],quicBaseline
0,1,29,29,[20453],['192.168.1.105:6666'],quicBaseline
0,1,30,30,[20379],['192.168.1.105:6666'],quicBaseline
