experiment,run,repetition,seed,migrationTechnique,protocol,memoryFootprintInflation [MB],preDumpTime [s],preDumpTxTime [s],dumpTime [s],dumpTxTime [s],dumpSize,preDumpSize,compressionEnabled,rsyncPreDumpTotalFileSize,rsyncPreDumpTotalBytesSent,rsyncPreDumpTransferRate,rsyncPreDumpCompressionSpeedup,rsyncDumpTotalFileSize,rsyncDumpTotalBytesSent,rsyncDumpTransferRate,rsyncDumpCompressionSpeedup
1,1,1,1,cold,proactiveExplicit,0,,,0.29304957389831543,0.9555127620697021,1.5M,,False,,,,,1.46M,1.46M,972.84K bytes/sec,1.00
1,1,2,2,cold,proactiveExplicit,0,,,0.2908897399902344,0.9829416275024414,1.5M,,False,,,,,1.46M,1.46M,972.84K bytes/sec,1.00
1,1,3,3,cold,proactiveExplicit,0,,,0.29824280738830566,0.9685626029968262,1.5M,,False,,,,,1.46M,1.46M,972.84K bytes/sec,1.00
1,1,4,4,cold,proactiveExplicit,0,,,0.29782867431640625,0.9807214736938477,1.5M,,False,,,,,1.46M,1.46M,972.83K bytes/sec,1.00
1,1,5,5,cold,proactiveExplicit,0,,,0.2948620319366455,0.9521868228912354,1.5M,,False,,,,,1.46M,1.46M,2.92M bytes/sec,1.00
1,1,6,6,cold,proactiveExplicit,0,,,0.2876279354095459,1.0124566555023193,1.5M,,False,,,,,1.46M,1.46M,975.58K bytes/sec,1.00
1,1,7,7,cold,proactiveExplicit,0,,,0.2892129421234131,0.9772188663482666,1.5M,,False,,,,,1.46M,1.46M,972.85K bytes/sec,1.00
1,1,8,8,cold,proactiveExplicit,0,,,0.2895774841308594,1.006467580795288,1.5M,,False,,,,,1.46M,1.46M,972.83K bytes/sec,1.00
1,1,9,9,cold,proactiveExplicit,0,,,0.2900543212890625,0.9667377471923828,1.5M,,False,,,,,1.46M,1.46M,972.84K bytes/sec,1.00
1,1,10,10,cold,proactiveExplicit,0,,,0.2839531898498535,0.9699392318725586,1.5M,,False,,,,,1.46M,1.46M,972.84K bytes/sec,1.00
1,1,11,11,cold,proactiveExplicit,0,,,0.3047473430633545,0.9586684703826904,1.5M,,False,,,,,1.46M,1.46M,975.56K bytes/sec,1.00
1,1,12,12,cold,proactiveExplicit,0,,,0.29917407035827637,0.9461238384246826,1.5M,,False,,,,,1.46M,1.46M,972.85K bytes/sec,1.00
1,1,13,13,cold,proactiveExplicit,0,,,0.2989237308502197,0.957308292388916,1.5M,,False,,,,,1.46M,1.46M,972.84K bytes/sec,1.00
1,1,14,14,cold,proactiveExplicit,0,,,0.2892739772796631,0.9647407531738281,1.5M,,False,,,,,1.46M,1.46M,972.83K bytes/sec,1.00
1,1,15,15,cold,proactiveExplicit,0,,,0.30509018898010254,0.9623627662658691,1.5M,,False,,,,,1.46M,1.46M,972.84K bytes/sec,1.00
1,1,16,16,cold,proactiveExplicit,0,,,0.28893351554870605,0.9620823860168457,1.5M,,False,,,,,1.46M,1.46M,972.84K bytes/sec,1.00
1,1,17,17,cold,proactiveExplicit,0,,,0.29897093772888184,0.9650919437408447,1.5M,,False,,,,,1.46M,1.46M,975.57K bytes/sec,1.00
1,1,18,18,cold,proactiveExplicit,0,,,0.29991698265075684,0.9699130058288574,1.5M,,False,,,,,1.46M,1.46M,972.83K bytes/sec,1.00
1,1,19,19,cold,proactiveExplicit,0,,,0.2932002544403076,0.9695208072662354,1.5M,,False,,,,,1.46M,1.46M,975.57K bytes/sec,1.00
1,1,20,20,cold,proactiveExplicit,0,,,0.29096531867980957,0.9669508934020996,1.5M,,False,,,,,1.46M,1.46M,972.84K bytes/sec,1.00
1,1,21,21,cold,proactiveExplicit,0,,,0.364835262298584,0.993370771408081,1.5M,,False,,,,,1.45M,1.45M,970.11K bytes/sec,1.00
1,1,22,22,cold,proactiveExplicit,0,,,0.2888188362121582,0.9795424938201904,1.5M,,False,,,,,1.45M,1.45M,970.11K bytes/sec,1.00
1,1,23,23,cold,proactiveExplicit,0,,,0.28464365005493164,0.9649128913879395,1.5M,,False,,,,,1.46M,1.46M,972.84K bytes/sec,1.00
1,1,24,24,cold,proactiveExplicit,0,,,0.2963435649871826,0.9606690406799316,1.5M,,False,,,,,1.45M,1.45M,970.11K bytes/sec,1.00
1,1,25,25,cold,proactiveExplicit,0,,,0.2876145839691162,0.9597434997558594,1.5M,,False,,,,,1.46M,1.46M,975.56K bytes/sec,1.00
1,1,26,26,cold,proactiveExplicit,0,,,0.300518274307251,0.9675712585449219,1.5M,,False,,,,,1.46M,1.46M,972.84K bytes/sec,1.00
1,1,27,27,cold,proactiveExplicit,0,,,0.2950141429901123,0.9558720588684082,1.5M,,False,,,,,1.46M,1.46M,972.84K bytes/sec,1.00
1,1,28,28,cold,proactiveExplicit,0,,,0.2970309257507324,0.9597504138946533,1.5M,,False,,,,,1.46M,1.46M,975.57K bytes/sec,1.00
1,1,29,29,cold,proactiveExplicit,0,,,0.295651912689209,0.9537324905395508,1.5M,,False,,,,,1.46M,1.46M,2.92M bytes/sec,1.00
1,1,30,30,cold,proactiveExplicit,0,,,0.3094487190246582,0.9595999717712402,1.5M,,False,,,,,1.46M,1.46M,972.84K bytes/sec,1.00
1,1,31,31,cold,proactiveExplicit,0,,,0.2936854362487793,0.9432811737060547,1.5M,,False,,,,,1.46M,1.46M,975.57K bytes/sec,1.00
1,1,32,32,cold,proactiveExplicit,0,,,0.29721689224243164,0.9516594409942627,1.5M,,False,,,,,1.46M,1.46M,972.82K bytes/sec,1.00
