experiment,run,repetition,restoreTime [s],numberOfLazyPages,lazyPagesTxTime [s],lazyPagesTxEndTime [s]
1,1,1,"['real 0.24', 'user 0.04', 'sys 0.04']",,,
1,1,2,"['real 0.25', 'user 0.06', 'sys 0.03']",,,
1,1,3,"['real 0.24', 'user 0.04', 'sys 0.05']",,,
1,1,4,"['real 0.25', 'user 0.03', 'sys 0.06']",,,
1,1,5,"['real 0.24', 'user 0.03', 'sys 0.05']",,,
1,1,6,"['real 0.25', 'user 0.04', 'sys 0.05']",,,
1,1,7,"['real 0.23', 'user 0.04', 'sys 0.05']",,,
1,1,8,"['real 0.26', 'user 0.03', 'sys 0.05']",,,
1,1,9,"['real 0.25', 'user 0.02', 'sys 0.05']",,,
1,1,10,"['real 0.24', 'user 0.05', 'sys 0.02']",,,
1,1,11,"['real 0.26', 'user 0.03', 'sys 0.06']",,,
1,1,12,"['real 0.24', 'user 0.02', 'sys 0.06']",,,
1,1,13,"['real 0.24', 'user 0.03', 'sys 0.05']",,,
1,1,14,"['real 0.25', 'user 0.04', 'sys 0.04']",,,
1,1,15,"['real 0.25', 'user 0.03', 'sys 0.06']",,,
1,1,16,"['real 0.24', 'user 0.06', 'sys 0.02']",,,
1,1,17,"['real 0.23', 'user 0.03', 'sys 0.06']",,,
1,1,18,"['real 0.25', 'user 0.05', 'sys 0.04']",,,
1,1,19,"['real 0.26', 'user 0.03', 'sys 0.06']",,,
1,1,20,"['real 0.26', 'user 0.02', 'sys 0.06']",,,
1,1,21,"['real 0.22', 'user 0.04', 'sys 0.05']",,,
1,1,22,"['real 0.24', 'user 0.03', 'sys 0.05']",,,
1,1,23,"['real 0.25', 'user 0.03', 'sys 0.06']",,,
1,1,24,"['real 0.24', 'user 0.03', 'sys 0.05']",,,
1,1,25,"['real 0.26', 'user 0.03', 'sys 0.05']",,,
1,1,26,"['real 0.25', 'user 0.04', 'sys 0.05']",,,
1,1,27,"['real 0.25', 'user 0.04', 'sys 0.04']",,,
1,1,28,"['real 0.25', 'user 0.04', 'sys 0.05']",,,
1,1,29,"['real 0.24', 'user 0.03', 'sys 0.05']",,,
1,1,30,"['real 0.24', 'user 0.04', 'sys 0.05']",,,
1,1,31,"['real 0.25', 'user 0.04', 'sys 0.04']",,,
1,1,32,"['real 0.23', 'user 0.04', 'sys 0.04']",,,
1,1,33,"['real 0.24', 'user 0.04', 'sys 0.04']",,,
1,1,34,"['real 0.24', 'user 0.03', 'sys 0.05']",,,
1,1,35,"['real 0.24', 'user 0.04', 'sys 0.04']",,,
1,1,36,"['real 0.25', 'user 0.04', 'sys 0.03']",,,
1,1,37,"['real 0.24', 'user 0.03', 'sys 0.05']",,,
1,1,38,"['real 0.25', 'user 0.04', 'sys 0.05']",,,
1,1,39,"['real 0.22', 'user 0.04', 'sys 0.05']",,,
1,1,40,"['real 0.24', 'user 0.04', 'sys 0.05']",,,
1,1,41,"['real 0.23', 'user 0.03', 'sys 0.06']",,,
1,1,42,"['real 0.24', 'user 0.03', 'sys 0.05']",,,
1,1,43,"['real 0.24', 'user 0.04', 'sys 0.04']",,,
1,1,44,"['real 0.23', 'user 0.03', 'sys 0.06']",,,
1,1,45,"['real 0.23', 'user 0.04', 'sys 0.05']",,,
1,1,46,"['real 0.22', 'user 0.02', 'sys 0.06']",,,
1,1,47,"['real 0.24', 'user 0.05', 'sys 0.03']",,,
1,1,48,"['real 0.24', 'user 0.04', 'sys 0.04']",,,
1,1,49,"['real 0.23', 'user 0.04', 'sys 0.03']",,,
1,1,50,"['real 0.23', 'user 0.03', 'sys 0.05']",,,
1,1,51,"['real 0.24', 'user 0.03', 'sys 0.05']",,,
1,1,52,"['real 0.24', 'user 0.05', 'sys 0.04']",,,
1,1,53,"['real 0.25', 'user 0.02', 'sys 0.06']",,,
1,1,54,"['real 0.23', 'user 0.02', 'sys 0.06']",,,
1,1,55,"['real 0.24', 'user 0.04', 'sys 0.04']",,,
1,1,56,"['real 0.24', 'user 0.06', 'sys 0.02']",,,
1,1,57,"['real 0.24', 'user 0.04', 'sys 0.04']",,,
1,1,58,"['real 0.23', 'user 0.05', 'sys 0.04']",,,
1,1,59,"['real 0.25', 'user 0.05', 'sys 0.03']",,,
1,1,60,"['real 0.25', 'user 0.04', 'sys 0.05']",,,
1,1,61,"['real 0.26', 'user 0.03', 'sys 0.06']",,,
1,1,62,"['real 0.23', 'user 0.03', 'sys 0.05']",,,
1,1,63,"['real 0.26', 'user 0.03', 'sys 0.05']",,,
1,1,64,"['real 0.24', 'user 0.06', 'sys 0.03']",,,
1,1,65,"['real 0.26', 'user 0.03', 'sys 0.05']",,,
1,1,66,"['real 0.22', 'user 0.03', 'sys 0.05']",,,
1,1,67,"['real 0.23', 'user 0.05', 'sys 0.03']",,,
1,1,68,"['real 0.24', 'user 0.05', 'sys 0.04']",,,
1,1,69,"['real 0.24', 'user 0.04', 'sys 0.05']",,,
1,1,70,"['real 0.23', 'user 0.02', 'sys 0.06']",,,
1,1,71,"['real 0.23', 'user 0.04', 'sys 0.04']",,,
1,1,72,"['real 0.23', 'user 0.05', 'sys 0.04']",,,
1,1,73,"['real 0.24', 'user 0.03', 'sys 0.05']",,,
