experiment,run,repetition,seed,serviceTimes [us],serverAddresses,firstRequestAfterMigrationTriggered
1,1,1,1,[21689],['192.168.1.105:6666'],11
1,1,2,2,[21191],['192.168.1.105:6666'],11
1,1,3,3,[21774],['192.168.1.105:6666'],11
1,1,4,4,[21472],['192.168.1.105:6666'],11
1,1,5,5,[21106],['192.168.1.105:6666'],11
1,1,6,6,[21577],['192.168.1.105:6666'],11
1,1,7,7,[21125],['192.168.1.105:6666'],11
1,1,8,8,[21395],['192.168.1.105:6666'],11
1,1,9,9,[21696],['192.168.1.105:6666'],11
1,1,10,10,[21229],['192.168.1.105:6666'],11
1,1,11,11,[21750],['192.168.1.105:6666'],11
1,1,12,12,[21610],['192.168.1.105:6666'],11
1,1,13,13,[21673],['192.168.1.105:6666'],11
1,1,14,14,[21258],['192.168.1.105:6666'],11
1,1,15,15,[21309],['192.168.1.105:6666'],11
1,1,16,16,[21477],['192.168.1.105:6666'],11
1,1,17,17,[21628],['192.168.1.105:6666'],11
1,1,18,18,[21129],['192.168.1.105:6666'],11
1,1,19,19,[22327],['192.168.1.105:6666'],11
1,1,20,20,[21947],['192.168.1.105:6666'],11
1,1,21,21,[21107],['192.168.1.105:6666'],11
1,1,22,22,[21028],['192.168.1.105:6666'],11
1,1,23,23,[21055],['192.168.1.105:6666'],11
1,1,24,24,[21108],['192.168.1.105:6666'],11
1,1,25,25,[21627],['192.168.1.105:6666'],11
1,1,26,26,[21074],['192.168.1.105:6666'],11
1,1,27,27,[21744],['192.168.1.105:6666'],11
1,1,28,28,[21488],['192.168.1.105:6666'],11
1,1,29,29,[21499],['192.168.1.105:6666'],11
1,1,30,30,[21558],['192.168.1.105:6666'],11
1,1,31,31,[21266],['192.168.1.105:6666'],11
1,1,32,32,[20972],['192.168.1.105:6666'],11
1,1,33,33,[21692],['192.168.1.105:6666'],11
1,1,34,34,[21844],['192.168.1.105:6666'],11
1,1,35,35,[21624],['192.168.1.105:6666'],11
1,1,36,36,[21589],['192.168.1.105:6666'],11
1,1,37,37,[21223],['192.168.1.105:6666'],11
1,1,38,38,[21642],['192.168.1.105:6666'],11
1,1,39,39,[21234],['192.168.1.105:6666'],11
1,1,40,40,[21259],['192.168.1.105:6666'],11
1,1,41,41,[21039],['192.168.1.105:6666'],11
1,1,42,42,[21878],['192.168.1.105:6666'],11
1,1,43,43,[21124],['192.168.1.105:6666'],11
1,1,44,44,[20891],['192.168.1.105:6666'],11
1,1,45,45,[21775],['192.168.1.105:6666'],11
1,1,46,46,[21639],['192.168.1.105:6666'],11
1,1,47,47,[21210],['192.168.1.105:6666'],11
1,1,48,48,[21038],['192.168.1.105:6666'],11
1,1,49,49,[21399],['192.168.1.105:6666'],11
1,1,50,50,[21015],['192.168.1.105:6666'],11
1,1,51,51,[21657],['192.168.1.105:6666'],11
1,1,52,52,[21541],['192.168.1.105:6666'],11
1,1,53,53,[21723],['192.168.1.105:6666'],11
1,1,54,54,[21354],['192.168.1.105:6666'],11
1,1,55,55,[21239],['192.168.1.105:6666'],11
1,1,56,56,[21800],['192.168.1.105:6666'],11
1,1,57,57,[21092],['192.168.1.105:6666'],11
1,1,58,58,[21816],['192.168.1.105:6666'],11
1,1,59,59,[21169],['192.168.1.105:6666'],11
1,1,60,60,[21586],['192.168.1.105:6666'],11
1,1,61,61,[21517],['192.168.1.105:6666'],11
1,1,62,62,[21478],['192.168.1.105:6666'],11
1,1,63,63,[21231],['192.168.1.105:6666'],11
1,1,64,64,[21676],['192.168.1.105:6666'],11
1,1,65,65,[21682],['192.168.1.105:6666'],11
1,1,66,66,[21576],['192.168.1.105:6666'],11
1,1,67,67,[21253],['192.168.1.105:6666'],11
1,1,68,68,[20991],['192.168.1.105:6666'],11
1,1,69,69,[21077],['192.168.1.105:6666'],11
1,1,70,70,[21995],['192.168.1.105:6666'],11
1,1,71,71,[20991],['192.168.1.105:6666'],11
1,1,72,72,[21124],['192.168.1.105:6666'],11
1,1,73,73,[21651],['192.168.1.105:6666'],11
1,1,74,74,[21644],['192.168.1.105:6666'],11
1,1,75,75,[21484],['192.168.1.105:6666'],11
1,1,76,76,[21252],['192.168.1.105:6666'],11
1,1,77,77,[21959],['192.168.1.105:6666'],11
1,1,78,78,[21770],['192.168.1.105:6666'],11
1,1,79,79,[20921],['192.168.1.105:6666'],11
1,1,80,80,[21656],['192.168.1.105:6666'],11
1,1,81,81,[21084],['192.168.1.105:6666'],11
1,1,82,82,[21260],['192.168.1.105:6666'],11
1,1,83,83,[21668],['192.168.1.105:6666'],11
1,1,84,84,[21624],['192.168.1.105:6666'],11
1,1,85,85,[21569],['192.168.1.105:6666'],11
1,1,86,86,[21145],['192.168.1.105:6666'],11
1,1,87,87,[21150],['192.168.1.105:6666'],11
1,1,88,88,[21698],['192.168.1.105:6666'],11
1,1,89,89,[21683],['192.168.1.105:6666'],11
1,1,90,90,[21518],['192.168.1.105:6666'],11
1,1,91,91,[21043],['192.168.1.105:6666'],11
1,1,92,92,[21693],['192.168.1.105:6666'],11
1,1,93,93,[21634],['192.168.1.105:6666'],11
1,1,94,94,[21301],['192.168.1.105:6666'],11
1,1,95,95,[21329],['192.168.1.105:6666'],11
1,1,96,96,[21223],['192.168.1.105:6666'],11
