experiment,run,repetition,restoreTime [s],numberOfLazyPages,lazyPagesTxTime [s],lazyPagesTxEndTime [s]
2,1,1,"['real 0.24', 'user 0.01', 'sys 0.07']",,,
2,1,2,"['real 0.24', 'user 0.04', 'sys 0.04']",,,
2,1,3,"['real 0.24', 'user 0.03', 'sys 0.05']",,,
2,1,4,"['real 0.26', 'user 0.05', 'sys 0.03']",,,
2,1,5,"['real 0.25', 'user 0.02', 'sys 0.07']",,,
2,1,6,"['real 0.25', 'user 0.05', 'sys 0.03']",,,
2,1,7,"['real 0.25', 'user 0.05', 'sys 0.03']",,,
2,1,8,"['real 0.24', 'user 0.06', 'sys 0.02']",,,
2,1,9,"['real 0.26', 'user 0.03', 'sys 0.04']",,,
2,1,10,"['real 0.23', 'user 0.05', 'sys 0.03']",,,
2,2,1,"['real 0.23', 'user 0.03', 'sys 0.05']",,,
2,2,2,"['real 0.24', 'user 0.04', 'sys 0.05']",,,
2,2,3,"['real 0.27', 'user 0.04', 'sys 0.04']",,,
2,2,4,"['real 0.24', 'user 0.02', 'sys 0.06']",,,
2,2,5,"['real 0.24', 'user 0.03', 'sys 0.06']",,,
2,2,6,"['real 0.24', 'user 0.02', 'sys 0.06']",,,
2,2,7,"['real 0.26', 'user 0.03', 'sys 0.06']",,,
2,2,8,"['real 0.26', 'user 0.04', 'sys 0.05']",,,
2,2,9,"['real 0.26', 'user 0.03', 'sys 0.05']",,,
2,2,10,"['real 0.25', 'user 0.04', 'sys 0.04']",,,
2,3,1,"['real 0.25', 'user 0.04', 'sys 0.04']",203.0,0.046388999999999986,0.251712
2,3,2,"['real 0.23', 'user 0.03', 'sys 0.05']",203.0,0.04554799999999998,0.242328
2,3,3,"['real 0.25', 'user 0.03', 'sys 0.05']",203.0,0.045306999999999986,0.261293
2,3,4,"['real 0.23', 'user 0.04', 'sys 0.04']",204.0,0.046286999999999995,0.242431
2,3,5,"['real 0.26', 'user 0.03', 'sys 0.05']",203.0,0.053805999999999965,0.281334
2,3,6,"['real 0.25', 'user 0.04', 'sys 0.04']",203.0,0.03950400000000001,0.232986
2,3,7,"['real 0.24', 'user 0.03', 'sys 0.06']",203.0,0.03945999999999997,0.259298
2,3,8,"['real 0.27', 'user 0.03', 'sys 0.05']",204.0,0.04724300000000001,0.275988
2,3,9,"['real 0.24', 'user 0.03', 'sys 0.05']",203.0,0.04684700000000003,0.25768
2,3,10,"['real 0.27', 'user 0.03', 'sys 0.05']",203.0,0.04985400000000004,0.284382
2,4,1,"['real 0.27', 'user 0.04', 'sys 0.05']",7.0,0.01621700000000001,0.261755
2,4,2,"['real 0.26', 'user 0.02', 'sys 0.06']",7.0,0.015877999999999975,0.255725
2,4,3,"['real 0.25', 'user 0.05', 'sys 0.04']",7.0,0.016573000000000004,0.236171
2,4,4,"['real 0.28', 'user 0.05', 'sys 0.03']",7.0,0.01780599999999999,0.270819
2,4,5,"['real 0.25', 'user 0.04', 'sys 0.04']",7.0,0.016804999999999987,0.239639
2,4,6,"['real 0.25', 'user 0.04', 'sys 0.05']",7.0,0.016066999999999998,0.239441
2,4,7,"['real 0.23', 'user 0.03', 'sys 0.05']",7.0,0.01554999999999998,0.202364
2,4,8,"['real 0.26', 'user 0.02', 'sys 0.06']",7.0,0.01610800000000001,0.250161
2,4,9,"['real 0.28', 'user 0.03', 'sys 0.06']",11.0,0.01917000000000002,0.271834
2,4,10,"['real 0.24', 'user 0.04', 'sys 0.04']",11.0,0.021024999999999988,0.225043
2,5,1,"['real 0.25', 'user 0.03', 'sys 0.05']",,,
2,5,2,"['real 0.24', 'user 0.05', 'sys 0.04']",,,
2,5,3,"['real 0.23', 'user 0.04', 'sys 0.05']",,,
2,5,4,"['real 0.25', 'user 0.02', 'sys 0.06']",,,
2,5,5,"['real 0.24', 'user 0.04', 'sys 0.05']",,,
2,5,6,"['real 0.23', 'user 0.03', 'sys 0.05']",,,
2,5,7,"['real 0.23', 'user 0.03', 'sys 0.05']",,,
2,5,8,"['real 0.24', 'user 0.02', 'sys 0.06']",,,
2,5,9,"['real 0.22', 'user 0.04', 'sys 0.04']",,,
2,5,10,"['real 0.26', 'user 0.04', 'sys 0.05']",,,
2,6,1,"['real 0.24', 'user 0.02', 'sys 0.06']",,,
2,6,2,"['real 0.24', 'user 0.02', 'sys 0.06']",,,
2,6,3,"['real 0.24', 'user 0.06', 'sys 0.02']",,,
2,6,4,"['real 0.26', 'user 0.02', 'sys 0.06']",,,
2,6,5,"['real 0.23', 'user 0.03', 'sys 0.05']",,,
2,6,6,"['real 0.24', 'user 0.02', 'sys 0.06']",,,
2,6,7,"['real 0.26', 'user 0.02', 'sys 0.06']",,,
2,6,8,"['real 0.26', 'user 0.04', 'sys 0.04']",,,
2,6,9,"['real 0.24', 'user 0.04', 'sys 0.03']",,,
2,6,10,"['real 0.25', 'user 0.02', 'sys 0.06']",,,
2,7,1,"['real 0.23', 'user 0.05', 'sys 0.04']",203.0,0.036028000000000004,0.229595
2,7,2,"['real 0.23', 'user 0.05', 'sys 0.03']",203.0,0.04742000000000002,0.248453
2,7,3,"['real 0.23', 'user 0.04', 'sys 0.04']",203.0,0.045397999999999994,0.245579
2,7,4,"['real 0.25', 'user 0.02', 'sys 0.06']",203.0,0.04536100000000001,0.266654
2,7,5,"['real 0.25', 'user 0.04', 'sys 0.05']",203.0,0.046044999999999975,0.264391
2,7,6,"['real 0.25', 'user 0.01', 'sys 0.07']",203.0,0.04748999999999998,0.26353
2,7,7,"['real 0.27', 'user 0.04', 'sys 0.04']",204.0,0.048783999999999994,0.263252
2,7,8,"['real 0.25', 'user 0.05', 'sys 0.03']",204.0,0.054151000000000005,0.264857
2,7,9,"['real 0.25', 'user 0.05', 'sys 0.03']",204.0,0.04791299999999998,0.262825
2,7,10,"['real 0.27', 'user 0.05', 'sys 0.03']",204.0,0.03887699999999997,0.266076
2,8,1,"['real 0.29', 'user 0.04', 'sys 0.04']",67.0,0.03410199999999999,0.282028
2,8,2,"['real 0.27', 'user 0.04', 'sys 0.04']",69.0,0.026602999999999988,0.258565
2,8,3,"['real 0.27', 'user 0.05', 'sys 0.04']",68.0,0.03151000000000004,0.261711
2,8,4,"['real 0.26', 'user 0.04', 'sys 0.05']",68.0,0.024823999999999985,0.243381
2,8,5,"['real 0.27', 'user 0.04', 'sys 0.04']",68.0,0.03110199999999999,0.268657
2,8,6,"['real 0.25', 'user 0.03', 'sys 0.05']",64.0,0.03608999999999998,0.254756
2,8,7,"['real 0.29', 'user 0.04', 'sys 0.04']",65.0,0.029159999999999964,0.283338
2,8,8,"['real 0.25', 'user 0.04', 'sys 0.04']",63.0,0.028126000000000012,0.248786
2,8,9,"['real 0.25', 'user 0.03', 'sys 0.06']",70.0,0.03234099999999998,0.259401
2,8,10,"['real 0.24', 'user 0.03', 'sys 0.06']",68.0,0.028295000000000015,0.238022
2,9,1,"['real 0.23', 'user 0.01', 'sys 0.07']",,,
2,9,2,"['real 0.24', 'user 0.02', 'sys 0.06']",,,
2,9,3,"['real 0.24', 'user 0.03', 'sys 0.05']",,,
2,9,4,"['real 0.23', 'user 0.03', 'sys 0.05']",,,
2,9,5,"['real 0.28', 'user 0.03', 'sys 0.05']",,,
2,9,6,"['real 0.24', 'user 0.02', 'sys 0.06']",,,
2,9,7,"['real 0.24', 'user 0.01', 'sys 0.07']",,,
2,9,8,"['real 0.24', 'user 0.02', 'sys 0.06']",,,
2,9,9,"['real 0.22', 'user 0.03', 'sys 0.05']",,,
2,9,10,"['real 0.24', 'user 0.03', 'sys 0.05']",,,
2,10,1,"['real 0.29', 'user 0.03', 'sys 0.06']",,,
2,10,2,"['real 0.24', 'user 0.02', 'sys 0.06']",,,
2,10,3,"['real 0.25', 'user 0.03', 'sys 0.05']",,,
2,10,4,"['real 0.24', 'user 0.04', 'sys 0.04']",,,
2,10,5,"['real 0.24', 'user 0.03', 'sys 0.05']",,,
2,10,6,"['real 0.25', 'user 0.04', 'sys 0.04']",,,
2,10,7,"['real 0.24', 'user 0.02', 'sys 0.06']",,,
2,10,8,"['real 0.27', 'user 0.04', 'sys 0.04']",,,
2,10,9,"['real 0.24', 'user 0.04', 'sys 0.04']",,,
2,10,10,"['real 0.25', 'user 0.03', 'sys 0.05']",,,
2,11,1,"['real 0.25', 'user 0.04', 'sys 0.04']",204.0,0.04632700000000001,0.267172
2,11,2,"['real 0.26', 'user 0.04', 'sys 0.04']",203.0,0.04334100000000002,0.276139
2,11,3,"['real 0.27', 'user 0.05', 'sys 0.02']",203.0,0.05107199999999998,0.292203
2,11,4,"['real 0.29', 'user 0.03', 'sys 0.05']",203.0,0.054761000000000004,0.31612
2,11,5,"['real 0.25', 'user 0.04', 'sys 0.04']",204.0,0.05661100000000002,0.264147
2,11,6,"['real 0.23', 'user 0.03', 'sys 0.05']",202.0,0.037616999999999984,0.244356
2,11,7,"['real 0.25', 'user 0.03', 'sys 0.05']",204.0,0.04255400000000001,0.257336
2,11,8,"['real 0.26', 'user 0.04', 'sys 0.04']",202.0,0.035923999999999984,0.271113
2,11,9,"['real 0.26', 'user 0.04', 'sys 0.04']",202.0,0.05041799999999999,0.270422
2,11,10,"['real 0.25', 'user 0.04', 'sys 0.04']",204.0,0.043116000000000015,0.2508
2,12,1,"['real 0.26', 'user 0.03', 'sys 0.06']",66.0,0.02731599999999998,0.259206
2,12,2,"['real 0.25', 'user 0.04', 'sys 0.05']",70.0,0.026505,0.241889
2,12,3,"['real 0.25', 'user 0.02', 'sys 0.06']",68.0,0.026227,0.249784
2,12,4,"['real 0.27', 'user 0.04', 'sys 0.04']",68.0,0.026924000000000003,0.245785
2,12,5,"['real 0.24', 'user 0.03', 'sys 0.06']",68.0,0.029097000000000012,0.24668
2,12,6,"['real 0.25', 'user 0.02', 'sys 0.06']",69.0,0.037964,0.258017
2,12,7,"['real 0.26', 'user 0.04', 'sys 0.05']",67.0,0.028245999999999966,0.263491
2,12,8,"['real 0.24', 'user 0.05', 'sys 0.03']",67.0,0.028365,0.233044
2,12,9,"['real 0.23', 'user 0.03', 'sys 0.06']",67.0,0.029940999999999995,0.235779
2,12,10,"['real 0.24', 'user 0.02', 'sys 0.06']",66.0,0.029753,0.246286
2,13,1,"['real 0.28', 'user 0.03', 'sys 0.05']",,,
2,13,2,"['real 0.25', 'user 0.03', 'sys 0.05']",,,
2,13,3,"['real 0.23', 'user 0.03', 'sys 0.05']",,,
2,13,4,"['real 0.24', 'user 0.04', 'sys 0.04']",,,
2,13,5,"['real 0.25', 'user 0.03', 'sys 0.05']",,,
2,13,6,"['real 0.24', 'user 0.03', 'sys 0.05']",,,
2,13,7,"['real 0.23', 'user 0.04', 'sys 0.04']",,,
2,13,8,"['real 0.25', 'user 0.03', 'sys 0.06']",,,
2,13,9,"['real 0.26', 'user 0.04', 'sys 0.04']",,,
2,13,10,"['real 0.24', 'user 0.04', 'sys 0.05']",,,
2,14,1,"['real 0.26', 'user 0.03', 'sys 0.05']",,,
2,14,2,"['real 0.26', 'user 0.02', 'sys 0.06']",,,
2,14,3,"['real 0.24', 'user 0.03', 'sys 0.05']",,,
2,14,4,"['real 0.26', 'user 0.05', 'sys 0.04']",,,
2,14,5,"['real 0.26', 'user 0.03', 'sys 0.05']",,,
2,14,6,"['real 0.25', 'user 0.04', 'sys 0.04']",,,
