experiment,run,protocol,expectedNumberOfClients,actualNumberOfClients,migrationNotificationTime [us]
3,1,reactiveExplicit,1,1,40233
3,2,reactiveExplicit,1,1,38379
3,3,reactiveExplicit,1,1,38959
3,4,reactiveExplicit,1,1,39876
3,5,reactiveExplicit,1,1,40721
3,6,reactiveExplicit,1,1,44787
3,7,reactiveExplicit,1,1,40448
3,8,reactiveExplicit,1,1,39841
3,9,reactiveExplicit,1,1,40205
3,10,reactiveExplicit,1,1,40521
3,1,reactiveExplicit,10,10,44690
3,2,reactiveExplicit,10,10,42742
3,3,reactiveExplicit,10,10,50202
3,4,reactiveExplicit,10,10,43008
3,5,reactiveExplicit,10,10,43495
3,6,reactiveExplicit,10,10,41388
3,7,reactiveExplicit,10,10,45100
3,8,reactiveExplicit,10,10,42238
3,9,reactiveExplicit,10,10,41867
3,10,reactiveExplicit,10,10,42308
3,1,reactiveExplicit,20,20,50972
3,2,reactiveExplicit,20,20,42080
3,3,reactiveExplicit,20,20,46570
3,4,reactiveExplicit,20,20,42502
3,5,reactiveExplicit,20,20,45382
3,6,reactiveExplicit,20,20,46262
3,7,reactiveExplicit,20,20,46230
3,8,reactiveExplicit,20,20,44700
3,9,reactiveExplicit,20,20,50012
3,10,reactiveExplicit,20,20,43933
3,1,reactiveExplicit,30,30,46979
3,2,reactiveExplicit,30,30,45253
3,3,reactiveExplicit,30,30,47712
3,4,reactiveExplicit,30,30,47212
3,5,reactiveExplicit,30,30,46167
3,6,reactiveExplicit,30,30,48541
3,7,reactiveExplicit,30,30,50395
3,8,reactiveExplicit,30,30,47026
3,9,reactiveExplicit,30,30,50512
3,10,reactiveExplicit,30,30,47749
3,1,reactiveExplicit,50,50,48134
3,2,reactiveExplicit,50,50,49857
3,3,reactiveExplicit,50,50,52984
3,4,reactiveExplicit,50,50,55012
3,5,reactiveExplicit,50,50,53841
3,6,reactiveExplicit,50,50,51532
3,7,reactiveExplicit,50,50,54934
3,8,reactiveExplicit,50,50,52313
3,9,reactiveExplicit,50,50,49856
3,10,reactiveExplicit,50,50,56021
3,1,symmetric,1,1,322
3,2,symmetric,1,1,273
3,3,symmetric,1,1,246
3,4,symmetric,1,1,237
3,5,symmetric,1,1,351
3,6,symmetric,1,1,315
3,7,symmetric,1,1,290
3,8,symmetric,1,1,208
3,9,symmetric,1,1,161
3,10,symmetric,1,1,353
3,1,symmetric,10,10,1074
3,2,symmetric,10,10,1080
3,3,symmetric,10,10,887
3,4,symmetric,10,10,1111
3,5,symmetric,10,10,770
3,6,symmetric,10,10,835
3,7,symmetric,10,10,1156
3,8,symmetric,10,10,763
3,9,symmetric,10,10,1112
3,10,symmetric,10,10,1016
3,1,symmetric,20,20,1351
3,2,symmetric,20,20,1694
3,3,symmetric,20,20,1402
3,4,symmetric,20,20,1318
3,5,symmetric,20,20,1412
3,6,symmetric,20,20,2223
3,7,symmetric,20,20,1547
3,8,symmetric,20,20,1562
3,9,symmetric,20,20,1331
3,10,symmetric,20,20,1240
3,1,symmetric,30,30,3028
3,2,symmetric,30,30,1755
3,3,symmetric,30,30,2238
3,4,symmetric,30,30,2355
3,5,symmetric,30,30,2743
3,6,symmetric,30,30,2337
3,7,symmetric,30,30,2500
3,8,symmetric,30,30,1686
3,9,symmetric,30,30,2637
3,10,symmetric,30,30,1745
3,1,symmetric,50,50,3782
3,2,symmetric,50,50,3251
3,3,symmetric,50,50,2961
3,4,symmetric,50,50,4437
3,5,symmetric,50,50,4135
3,6,symmetric,50,50,2725
3,7,symmetric,50,50,2878
3,8,symmetric,50,50,3360
3,9,symmetric,50,50,3811
3,10,symmetric,50,50,2999
