experiment,run,restoreTime [s],numberOfLazyPages,lazyPagesTxTime [s],lazyPagesTxEndTime [s]
4,1,"['real 0.35', 'user 0.05', 'sys 0.07']",,,
4,1,"['real 0.35', 'user 0.05', 'sys 0.07']",,,
4,1,"['real 0.35', 'user 0.05', 'sys 0.07']",,,
4,1,"['real 0.35', 'user 0.05', 'sys 0.07']",,,
4,1,"['real 0.35', 'user 0.05', 'sys 0.07']",,,
4,1,"['real 0.35', 'user 0.05', 'sys 0.07']",,,
4,1,"['real 0.35', 'user 0.05', 'sys 0.07']",,,
4,1,"['real 0.35', 'user 0.05', 'sys 0.07']",,,
4,1,"['real 0.35', 'user 0.05', 'sys 0.07']",,,
4,1,"['real 0.35', 'user 0.05', 'sys 0.07']",,,
4,1,"['real 0.35', 'user 0.05', 'sys 0.07']",,,
4,1,"['real 0.35', 'user 0.05', 'sys 0.07']",,,
4,1,"['real 0.35', 'user 0.05', 'sys 0.07']",,,
4,1,"['real 0.35', 'user 0.05', 'sys 0.07']",,,
4,1,"['real 0.35', 'user 0.05', 'sys 0.07']",,,
4,1,"['real 0.35', 'user 0.05', 'sys 0.07']",,,
4,1,"['real 0.35', 'user 0.05', 'sys 0.07']",,,
4,1,"['real 0.35', 'user 0.05', 'sys 0.07']",,,
4,1,"['real 0.35', 'user 0.05', 'sys 0.07']",,,
4,1,"['real 0.35', 'user 0.05', 'sys 0.07']",,,
4,1,"['real 0.35', 'user 0.05', 'sys 0.07']",,,
4,1,"['real 0.35', 'user 0.05', 'sys 0.07']",,,
4,1,"['real 0.35', 'user 0.05', 'sys 0.07']",,,
4,1,"['real 0.35', 'user 0.05', 'sys 0.07']",,,
4,1,"['real 0.35', 'user 0.05', 'sys 0.07']",,,
4,1,"['real 0.35', 'user 0.05', 'sys 0.07']",,,
4,1,"['real 0.35', 'user 0.05', 'sys 0.07']",,,
4,1,"['real 0.35', 'user 0.05', 'sys 0.07']",,,
4,1,"['real 0.35', 'user 0.05', 'sys 0.07']",,,
4,1,"['real 0.35', 'user 0.05', 'sys 0.07']",,,
4,2,"['real 0.26', 'user 0.05', 'sys 0.04']",,,
4,2,"['real 0.26', 'user 0.05', 'sys 0.04']",,,
4,2,"['real 0.26', 'user 0.05', 'sys 0.04']",,,
4,2,"['real 0.26', 'user 0.05', 'sys 0.04']",,,
4,2,"['real 0.26', 'user 0.05', 'sys 0.04']",,,
4,2,"['real 0.26', 'user 0.05', 'sys 0.04']",,,
4,2,"['real 0.26', 'user 0.05', 'sys 0.04']",,,
4,2,"['real 0.26', 'user 0.05', 'sys 0.04']",,,
4,2,"['real 0.26', 'user 0.05', 'sys 0.04']",,,
4,2,"['real 0.26', 'user 0.05', 'sys 0.04']",,,
4,2,"['real 0.26', 'user 0.05', 'sys 0.04']",,,
4,2,"['real 0.26', 'user 0.05', 'sys 0.04']",,,
4,2,"['real 0.26', 'user 0.05', 'sys 0.04']",,,
4,2,"['real 0.26', 'user 0.05', 'sys 0.04']",,,
4,2,"['real 0.26', 'user 0.05', 'sys 0.04']",,,
4,2,"['real 0.26', 'user 0.05', 'sys 0.04']",,,
4,2,"['real 0.26', 'user 0.05', 'sys 0.04']",,,
4,2,"['real 0.26', 'user 0.05', 'sys 0.04']",,,
4,2,"['real 0.26', 'user 0.05', 'sys 0.04']",,,
4,2,"['real 0.26', 'user 0.05', 'sys 0.04']",,,
4,2,"['real 0.26', 'user 0.05', 'sys 0.04']",,,
4,2,"['real 0.26', 'user 0.05', 'sys 0.04']",,,
4,2,"['real 0.26', 'user 0.05', 'sys 0.04']",,,
4,2,"['real 0.26', 'user 0.05', 'sys 0.04']",,,
