experiment,run,repetition,seed,serviceTimes [us],serverAddresses,firstRequestAfterMigrationTriggered
1,1,1,1,[21267],['192.168.1.105:6666'],11.0
1,1,2,2,[21549],['192.168.1.105:6666'],11.0
1,1,3,3,[21784],['192.168.1.105:6666'],11.0
1,1,4,4,[21814],['192.168.1.105:6666'],11.0
1,1,5,5,,,
1,1,6,6,[21667],['192.168.1.105:6666'],11.0
1,1,7,7,[22029],['192.168.1.105:6666'],11.0
1,1,8,8,[149897],['192.168.1.105:6666'],11.0
1,1,9,9,[21677],['192.168.1.105:6666'],11.0
1,1,10,10,[21691],['192.168.1.105:6666'],11.0
1,1,11,11,[21042],['192.168.1.105:6666'],11.0
1,1,12,12,[22019],['192.168.1.105:6666'],11.0
1,1,13,13,[21468],['192.168.1.105:6666'],11.0
1,1,14,14,[21397],['192.168.1.105:6666'],11.0
1,1,15,15,[21734],['192.168.1.105:6666'],11.0
1,1,16,16,[21074],['192.168.1.105:6666'],11.0
1,1,17,17,[21180],['192.168.1.105:6666'],11.0
1,1,18,18,[21771],['192.168.1.105:6666'],11.0
1,1,19,19,[21054],['192.168.1.105:6666'],11.0
1,1,20,20,[21607],['192.168.1.105:6666'],11.0
1,1,21,21,[21865],['192.168.1.105:6666'],11.0
1,1,22,22,[21663],['192.168.1.105:6666'],11.0
1,1,23,23,[21354],['192.168.1.105:6666'],11.0
1,1,24,24,[21719],['192.168.1.105:6666'],11.0
1,1,25,25,[21661],['192.168.1.105:6666'],11.0
1,1,26,26,[21077],['192.168.1.105:6666'],11.0
1,1,27,27,[21703],['192.168.1.105:6666'],11.0
1,1,28,28,[21730],['192.168.1.105:6666'],11.0
1,1,29,29,[21106],['192.168.1.105:6666'],11.0
1,1,30,30,[21208],['192.168.1.105:6666'],11.0
1,1,31,31,[21761],['192.168.1.105:6666'],11.0
1,1,32,32,[21574],['192.168.1.105:6666'],11.0
1,1,33,33,[21533],['192.168.1.105:6666'],11.0
1,1,34,34,[21665],['192.168.1.105:6666'],11.0
1,1,35,35,,,
1,1,36,36,[21509],['192.168.1.105:6666'],11.0
1,1,37,37,[21544],['192.168.1.105:6666'],11.0
1,1,38,38,,,
1,1,39,39,[21743],['192.168.1.105:6666'],11.0
1,1,40,40,[21990],['192.168.1.105:6666'],11.0
1,1,41,41,[21936],['192.168.1.105:6666'],11.0
1,1,42,42,[21809],['192.168.1.105:6666'],11.0
1,1,43,43,[150309],['192.168.1.105:6666'],11.0
1,1,44,44,[21559],['192.168.1.105:6666'],11.0
1,1,45,45,[21404],['192.168.1.105:6666'],11.0
1,1,46,46,[21964],['192.168.1.105:6666'],11.0
1,1,47,47,[21621],['192.168.1.105:6666'],11.0
1,1,48,48,,,
1,1,49,49,[21247],['192.168.1.105:6666'],11.0
1,1,50,50,[21265],['192.168.1.105:6666'],11.0
1,1,51,51,[21978],['192.168.1.105:6666'],11.0
1,1,52,52,[21772],['192.168.1.105:6666'],11.0
1,1,53,53,[21170],['192.168.1.105:6666'],11.0
1,1,54,54,[21643],['192.168.1.105:6666'],11.0
1,1,55,55,[21773],['192.168.1.105:6666'],11.0
1,1,56,56,[21376],['192.168.1.105:6666'],11.0
1,1,57,57,[21637],['192.168.1.105:6666'],11.0
1,1,58,58,[21581],['192.168.1.105:6666'],11.0
1,1,59,59,[21601],['192.168.1.105:6666'],11.0
1,1,60,60,[21266],['192.168.1.105:6666'],11.0
1,1,61,61,[21751],['192.168.1.105:6666'],11.0
1,1,62,62,[21064],['192.168.1.105:6666'],11.0
1,1,63,63,[21802],['192.168.1.105:6666'],11.0
1,1,64,64,[153886],['192.168.1.105:6666'],11.0
1,1,65,65,[21060],['192.168.1.105:6666'],11.0
1,1,66,66,[22204],['192.168.1.105:6666'],11.0
1,1,67,67,[21889],['192.168.1.105:6666'],11.0
1,1,68,68,[21762],['192.168.1.105:6666'],11.0
1,1,69,69,[20810],['192.168.1.105:6666'],11.0
1,1,70,70,[21702],['192.168.1.105:6666'],11.0
1,1,71,71,[21149],['192.168.1.105:6666'],11.0
1,1,72,72,[21755],['192.168.1.105:6666'],11.0
1,1,73,73,[21219],['192.168.1.105:6666'],11.0
1,1,74,74,[21036],['192.168.1.105:6666'],11.0
1,1,75,75,[21426],['192.168.1.105:6666'],11.0
1,1,76,76,[21696],['192.168.1.105:6666'],11.0
1,1,77,77,[21333],['192.168.1.105:6666'],11.0
1,1,78,78,[21768],['192.168.1.105:6666'],11.0
1,1,79,79,[21167],['192.168.1.105:6666'],11.0
1,1,80,80,[21653],['192.168.1.105:6666'],11.0
1,1,81,81,[21109],['192.168.1.105:6666'],11.0
1,1,82,82,[21043],['192.168.1.105:6666'],11.0
1,1,83,83,[21213],['192.168.1.105:6666'],11.0
1,1,84,84,[21094],['192.168.1.105:6666'],11.0
1,1,85,85,[21840],['192.168.1.105:6666'],11.0
1,1,86,86,[21329],['192.168.1.105:6666'],11.0
1,1,87,87,[21575],['192.168.1.105:6666'],11.0
1,1,88,88,,,
1,1,89,89,[21936],['192.168.1.105:6666'],11.0
1,1,90,90,[21780],['192.168.1.105:6666'],11.0
1,1,91,91,[21537],['192.168.1.105:6666'],11.0
1,1,92,92,[21643],['192.168.1.105:6666'],11.0
1,1,93,93,[21236],['192.168.1.105:6666'],11.0
1,1,94,94,[21270],['192.168.1.105:6666'],11.0
1,1,95,95,[21285],['192.168.1.105:6666'],11.0
1,1,96,96,[21846],['192.168.1.105:6666'],11.0
1,1,97,97,[21159],['192.168.1.105:6666'],11.0
1,1,98,98,[21564],['192.168.1.105:6666'],11.0
1,1,99,99,[21085],['192.168.1.105:6666'],11.0
1,1,100,100,[21737],['192.168.1.105:6666'],11.0
1,2,1,101,[20573],['192.168.1.105:6666'],11.0
1,2,2,102,[283488],['192.168.1.105:6666'],11.0
1,2,3,103,[290701],['192.168.1.105:6666'],11.0
1,2,4,104,[274585],['192.168.1.105:6666'],11.0
1,2,5,105,[283771],['192.168.1.105:6666'],11.0
1,2,6,106,[284190],['192.168.1.105:6666'],11.0
1,2,7,107,[275621],['192.168.1.105:6666'],11.0
1,2,8,108,[284533],['192.168.1.105:6666'],11.0
1,2,9,109,[280435],['192.168.1.105:6666'],11.0
1,2,10,110,[290664],['192.168.1.105:6666'],11.0
1,2,11,111,[293860],['192.168.1.105:6666'],11.0
1,2,12,112,[281612],['192.168.1.105:6666'],11.0
1,2,13,113,[20804],['192.168.1.105:6666'],11.0
1,2,14,114,[285430],['192.168.1.105:6666'],11.0
1,2,15,115,[280464],['192.168.1.105:6666'],11.0
1,2,16,116,[283563],['192.168.1.105:6666'],11.0
1,2,17,117,[290572],['192.168.1.105:6666'],11.0
1,2,18,118,[285002],['192.168.1.105:6666'],11.0
1,2,19,119,[284885],['192.168.1.105:6666'],11.0
1,2,20,120,[283499],['192.168.1.105:6666'],11.0
1,2,21,121,[280754],['192.168.1.105:6666'],11.0
1,2,22,122,[291080],['192.168.1.105:6666'],11.0
1,2,23,123,[293879],['192.168.1.105:6666'],11.0
1,2,24,124,,,
1,2,25,125,[290531],['192.168.1.105:6666'],11.0
1,2,26,126,[284478],['192.168.1.105:6666'],11.0
1,2,27,127,[306080],['192.168.1.105:6666'],11.0
1,2,28,128,,,
1,2,29,129,[271016],['192.168.1.105:6666'],11.0
1,2,30,130,[284061],['192.168.1.105:6666'],11.0
1,2,31,131,[280970],['192.168.1.105:6666'],11.0
1,2,32,132,[271173],['192.168.1.105:6666'],11.0
1,2,33,133,[285779],['192.168.1.105:6666'],11.0
1,2,34,134,[284885],['192.168.1.105:6666'],11.0
1,2,35,135,[291475],['192.168.1.105:6666'],11.0
1,2,36,136,[284953],['192.168.1.105:6666'],11.0
1,2,37,137,[286772],['192.168.1.105:6666'],11.0
1,2,38,138,[290457],['192.168.1.105:6666'],11.0
1,2,39,139,[271124],['192.168.1.105:6666'],11.0
1,2,40,140,[305487],['192.168.1.105:6666'],11.0
1,2,41,141,[300945],['192.168.1.105:6666'],11.0
1,2,42,142,[274335],['192.168.1.105:6666'],11.0
1,2,43,143,[290206],['192.168.1.105:6666'],11.0
1,2,44,144,[285063],['192.168.1.105:6666'],11.0
1,2,45,145,[294520],['192.168.1.105:6666'],11.0
1,2,46,146,[283182],['192.168.1.105:6666'],11.0
1,2,47,147,[285955],['192.168.1.105:6666'],11.0
1,2,48,148,[291391],['192.168.1.105:6666'],11.0
1,2,49,149,[284980],['192.168.1.105:6666'],11.0
1,2,50,150,[281025],['192.168.1.105:6666'],11.0
1,2,51,151,[282499],['192.168.1.105:6666'],11.0
1,2,52,152,[283688],['192.168.1.105:6666'],11.0
1,2,53,153,[271108],['192.168.1.105:6666'],11.0
1,2,54,154,[270885],['192.168.1.105:6666'],11.0
1,2,55,155,[285425],['192.168.1.105:6666'],11.0
1,2,56,156,[280658],['192.168.1.105:6666'],11.0
1,2,57,157,[418500],['192.168.1.105:6666'],11.0
1,2,58,158,[281050],['192.168.1.105:6666'],11.0
1,2,59,159,[280674],['192.168.1.105:6666'],11.0
1,2,60,160,[281082],['192.168.1.105:6666'],11.0
1,2,61,161,[283412],['192.168.1.105:6666'],11.0
1,2,62,162,[295560],['192.168.1.105:6666'],11.0
1,2,63,163,[291113],['192.168.1.105:6666'],11.0
1,2,64,164,[271301],['192.168.1.105:6666'],11.0
1,2,65,165,[291761],['192.168.1.105:6666'],11.0
1,2,66,166,[291217],['192.168.1.105:6666'],11.0
1,2,67,167,[283215],['192.168.1.105:6666'],11.0
1,2,68,168,[303243],['192.168.1.105:6666'],11.0
1,2,69,169,[261959],['192.168.1.105:6666'],11.0
1,2,70,170,[281214],['192.168.1.105:6666'],11.0
1,2,71,171,[294476],['192.168.1.105:6666'],11.0
1,2,72,172,,,
1,2,73,173,[302058],['192.168.1.105:6666'],11.0
1,2,74,174,[297179],['192.168.1.105:6666'],11.0
1,2,75,175,[290533],['192.168.1.105:6666'],11.0
1,2,76,176,[285862],['192.168.1.105:6666'],11.0
1,2,77,177,[291009],['192.168.1.105:6666'],11.0
1,2,78,178,[291962],['192.168.1.105:6666'],11.0
1,2,79,179,[281395],['192.168.1.105:6666'],11.0
1,2,80,180,[296702],['192.168.1.105:6666'],11.0
1,2,81,181,[407725],['192.168.1.105:6666'],11.0
1,2,82,182,[291558],['192.168.1.105:6666'],11.0
1,2,83,183,[282295],['192.168.1.105:6666'],11.0
1,2,84,184,[281136],['192.168.1.105:6666'],11.0
1,2,85,185,[290983],['192.168.1.105:6666'],11.0
1,2,86,186,[284778],['192.168.1.105:6666'],11.0
1,2,87,187,[281116],['192.168.1.105:6666'],11.0
1,2,88,188,[406876],['192.168.1.105:6666'],11.0
1,2,89,189,[286989],['192.168.1.105:6666'],11.0
1,2,90,190,[284089],['192.168.1.105:6666'],11.0
1,2,91,191,[284668],['192.168.1.105:6666'],11.0
1,2,92,192,[281180],['192.168.1.105:6666'],11.0
1,2,93,193,[290305],['192.168.1.105:6666'],11.0
1,2,94,194,[297967],['192.168.1.105:6666'],11.0
1,2,95,195,[281194],['192.168.1.105:6666'],11.0
1,2,96,196,[301133],['192.168.1.105:6666'],11.0
1,2,97,197,[282958],['192.168.1.105:6666'],11.0
1,2,98,198,[280575],['192.168.1.105:6666'],11.0
1,2,99,199,[414933],['192.168.1.105:6666'],11.0
1,2,100,200,[290769],['192.168.1.105:6666'],11.0
1,3,1,201,[507277],['192.168.1.105:6666'],11.0
1,3,2,202,[504034],['192.168.1.105:6666'],11.0
1,3,3,203,[508169],['192.168.1.105:6666'],11.0
1,3,4,204,[515059],['192.168.1.105:6666'],11.0
1,3,5,205,[498572],['192.168.1.105:6666'],11.0
1,3,6,206,[303481],['192.168.1.105:6666'],11.0
1,3,7,207,[301060],['192.168.1.105:6666'],11.0
1,3,8,208,[500261],['192.168.1.105:6666'],11.0
1,3,9,209,[410215],['192.168.1.105:6666'],11.0
1,3,10,210,[282692],['192.168.1.105:6666'],11.0
1,3,11,211,[919449],['192.168.1.105:6666'],11.0
1,3,12,212,[501764],['192.168.1.105:6666'],11.0
1,3,13,213,[506237],['192.168.1.105:6666'],11.0
1,3,14,214,[290381],['192.168.1.105:6666'],11.0
1,3,15,215,[294010],['192.168.1.105:6666'],11.0
1,3,16,216,[311269],['192.168.1.105:6666'],11.0
1,3,17,217,[501083],['192.168.1.105:6666'],11.0
1,3,18,218,[502262],['192.168.1.105:6666'],11.0
1,3,19,219,[291282],['192.168.1.105:6666'],11.0
1,3,20,220,[499217],['192.168.1.105:6666'],11.0
1,3,21,221,[500838],['192.168.1.105:6666'],11.0
1,3,22,222,[300673],['192.168.1.105:6666'],11.0
1,3,23,223,[291036],['192.168.1.105:6666'],11.0
1,3,24,224,[291212],['192.168.1.105:6666'],11.0
1,3,25,225,[293930],['192.168.1.105:6666'],11.0
1,3,26,226,[521456],['192.168.1.105:6666'],11.0
1,3,27,227,[290907],['192.168.1.105:6666'],11.0
1,3,28,228,[527858],['192.168.1.105:6666'],11.0
1,3,29,229,[291050],['192.168.1.105:6666'],11.0
1,3,30,230,[294416],['192.168.1.105:6666'],11.0
1,3,31,231,[919511],['192.168.1.105:6666'],11.0
1,3,32,232,[291351],['192.168.1.105:6666'],11.0
1,3,33,233,[311424],['192.168.1.105:6666'],11.0
1,3,34,234,[283968],['192.168.1.105:6666'],11.0
1,3,35,235,[505801],['192.168.1.105:6666'],11.0
1,3,36,236,[300643],['192.168.1.105:6666'],11.0
1,3,37,237,[507379],['192.168.1.105:6666'],11.0
1,3,38,238,[508604],['192.168.1.105:6666'],11.0
1,3,39,239,[291101],['192.168.1.105:6666'],11.0
1,3,40,240,[520086],['192.168.1.105:6666'],11.0
1,3,41,241,[301237],['192.168.1.105:6666'],11.0
1,3,42,242,[291152],['192.168.1.105:6666'],11.0
1,3,43,243,[291009],['192.168.1.105:6666'],11.0
1,3,44,244,[499201],['192.168.1.105:6666'],11.0
1,3,45,245,[280342],['192.168.1.105:6666'],11.0
1,3,46,246,[282995],['192.168.1.105:6666'],11.0
1,3,47,247,[517874],['192.168.1.105:6666'],11.0
1,3,48,248,[489249],['192.168.1.105:6666'],11.0
1,3,49,249,[502340],['192.168.1.105:6666'],11.0
1,3,50,250,[294056],['192.168.1.105:6666'],11.0
1,3,51,251,[284518],['192.168.1.105:6666'],11.0
1,3,52,252,[501450],['192.168.1.105:6666'],11.0
1,3,53,253,[495045],['192.168.1.105:6666'],11.0
1,3,54,254,[290830],['192.168.1.105:6666'],11.0
1,3,55,255,[501198],['192.168.1.105:6666'],11.0
1,3,56,256,[525167],['192.168.1.105:6666'],11.0
1,3,57,257,[3353235],['192.168.1.105:6666'],11.0
1,3,58,258,[498708],['192.168.1.105:6666'],11.0
1,3,59,259,[506470],['192.168.1.105:6666'],11.0
1,3,60,260,[501139],['192.168.1.105:6666'],11.0
1,3,61,261,[511085],['192.168.1.105:6666'],11.0
1,3,62,262,[303330],['192.168.1.105:6666'],11.0
1,3,63,263,[508801],['192.168.1.105:6666'],11.0
1,3,64,264,[507447],['192.168.1.105:6666'],11.0
1,3,65,265,[520539],['192.168.1.105:6666'],11.0
1,3,66,266,[501290],['192.168.1.105:6666'],11.0
1,3,67,267,[304213],['192.168.1.105:6666'],11.0
1,3,68,268,[500673],['192.168.1.105:6666'],11.0
1,3,69,269,[291182],['192.168.1.105:6666'],11.0
1,3,70,270,[505936],['192.168.1.105:6666'],11.0
1,3,71,271,[290379],['192.168.1.105:6666'],11.0
1,3,72,272,[293640],['192.168.1.105:6666'],11.0
1,3,73,273,[493173],['192.168.1.105:6666'],11.0
1,3,74,274,[301739],['192.168.1.105:6666'],11.0
1,3,75,275,[508890],['192.168.1.105:6666'],11.0
1,3,76,276,[282974],['192.168.1.105:6666'],11.0
1,3,77,277,[306143],['192.168.1.105:6666'],11.0
1,3,78,278,[491245],['192.168.1.105:6666'],11.0
1,3,79,279,[508197],['192.168.1.105:6666'],11.0
1,3,80,280,[517403],['192.168.1.105:6666'],11.0
1,3,81,281,[286060],['192.168.1.105:6666'],11.0
1,3,82,282,[294268],['192.168.1.105:6666'],11.0
1,3,83,283,[495084],['192.168.1.105:6666'],11.0
1,3,84,284,[290370],['192.168.1.105:6666'],11.0
1,3,85,285,[501872],['192.168.1.105:6666'],11.0
1,3,86,286,[501897],['192.168.1.105:6666'],11.0
1,3,87,287,[501614],['192.168.1.105:6666'],11.0
1,3,88,288,[527992],['192.168.1.105:6666'],11.0
1,3,89,289,[290949],['192.168.1.105:6666'],11.0
1,3,90,290,[497895],['192.168.1.105:6666'],11.0
1,3,91,291,[504735],['192.168.1.105:6666'],11.0
1,3,92,292,[517323],['192.168.1.105:6666'],11.0
1,3,93,293,[502815],['192.168.1.105:6666'],11.0
1,3,94,294,[285033],['192.168.1.105:6666'],11.0
1,3,95,295,[304596],['192.168.1.105:6666'],11.0
1,3,96,296,[291180],['192.168.1.105:6666'],11.0
1,3,97,297,[506748],['192.168.1.105:6666'],11.0
1,3,98,298,[514776],['192.168.1.105:6666'],11.0
1,3,99,299,[294495],['192.168.1.105:6666'],11.0
1,3,100,300,[501264],['192.168.1.105:6666'],11.0
1,4,1,301,[508498],['192.168.1.105:6666'],11.0
1,4,2,302,[920319],['192.168.1.105:6666'],11.0
1,4,3,303,[290656],['192.168.1.105:6666'],11.0
1,4,4,304,[283476],['192.168.1.105:6666'],11.0
1,4,5,305,[939060],['192.168.1.105:6666'],11.0
1,4,6,306,[925359],['192.168.1.105:6666'],11.0
1,4,7,307,[640621],['192.168.1.105:6666'],11.0
1,4,8,308,[915294],['192.168.1.105:6666'],11.0
1,4,9,309,[1739258],['192.168.1.105:6666'],11.0
1,4,10,310,[283298],['192.168.1.105:6666'],11.0
1,4,11,311,[932428],['192.168.1.105:6666'],11.0
1,4,12,312,[507562],['192.168.1.105:6666'],11.0
1,4,13,313,[919124],['192.168.1.105:6666'],11.0
1,4,14,314,[915895],['192.168.1.105:6666'],11.0
1,4,15,315,[909265],['192.168.1.105:6666'],11.0
1,4,16,316,[916995],['192.168.1.105:6666'],11.0
1,4,17,317,[508375],['192.168.1.105:6666'],11.0
1,4,18,318,[921416],['192.168.1.105:6666'],11.0
1,4,19,319,[915717],['192.168.1.105:6666'],11.0
1,4,20,320,[304753],['192.168.1.105:6666'],11.0
1,4,21,321,[501601],['192.168.1.105:6666'],11.0
1,4,22,322,[498504],['192.168.1.105:6666'],11.0
1,4,23,323,[916037],['192.168.1.105:6666'],11.0
1,4,24,324,[920813],['192.168.1.105:6666'],11.0
1,4,25,325,[287174],['192.168.1.105:6666'],11.0
1,4,26,326,[494167],['192.168.1.105:6666'],11.0
1,4,27,327,[503984],['192.168.1.105:6666'],11.0
1,4,28,328,[499148],['192.168.1.105:6666'],11.0
1,4,29,329,[310647],['192.168.1.105:6666'],11.0
1,4,30,330,[501166],['192.168.1.105:6666'],11.0
1,4,31,331,[304840],['192.168.1.105:6666'],11.0
1,4,32,332,[918907],['192.168.1.105:6666'],11.0
1,4,33,333,[504864],['192.168.1.105:6666'],11.0
