experiment,run,repetition,seed,migrationTechnique,protocol,memoryFootprintInflation [MB],preDumpTime [s],preDumpTxTime [s],dumpTime [s],dumpTxTime [s],dumpSize,preDumpSize,compressionEnabled,rsyncPreDumpTotalFileSize,rsyncPreDumpTotalBytesSent,rsyncPreDumpTransferRate,rsyncPreDumpCompressionSpeedup,rsyncDumpTotalFileSize,rsyncDumpTotalBytesSent,rsyncDumpTransferRate,rsyncDumpCompressionSpeedup
2,1,1,1,cold,proactiveExplicit,0,,,0.2815744876861572,0.9482941627502441,1.5M,,False,,,,,1.46M,1.46M,975.58K bytes/sec,1.00
2,1,2,2,cold,proactiveExplicit,0,,,0.27350354194641113,0.9419784545898438,1.5M,,False,,,,,1.46M,1.46M,975.58K bytes/sec,1.00
2,1,3,3,cold,proactiveExplicit,0,,,0.27828240394592285,0.9661414623260498,1.5M,,False,,,,,1.46M,1.46M,972.84K bytes/sec,1.00
2,1,4,4,cold,proactiveExplicit,0,,,0.2772529125213623,0.94964599609375,1.5M,,False,,,,,1.46M,1.46M,972.82K bytes/sec,1.00
2,1,5,5,cold,proactiveExplicit,0,,,0.2756798267364502,0.9695942401885986,1.5M,,False,,,,,1.47M,1.47M,981.04K bytes/sec,1.00
2,1,6,6,cold,proactiveExplicit,0,,,0.2766993045806885,0.9519870281219482,1.5M,,False,,,,,1.47M,1.48M,2.95M bytes/sec,1.00
2,1,7,7,cold,proactiveExplicit,0,,,0.2769439220428467,0.9529316425323486,1.5M,,False,,,,,1.46M,1.46M,972.83K bytes/sec,1.00
2,1,8,8,cold,proactiveExplicit,0,,,0.27802491188049316,0.9600391387939453,1.5M,,False,,,,,1.46M,1.46M,975.57K bytes/sec,1.00
2,1,9,9,cold,proactiveExplicit,0,,,0.27796125411987305,0.9555296897888184,1.5M,,False,,,,,1.46M,1.46M,972.85K bytes/sec,1.00
2,1,10,10,cold,proactiveExplicit,0,,,0.27349066734313965,0.951446533203125,1.5M,,False,,,,,1.46M,1.47M,978.33K bytes/sec,1.00
2,2,1,11,preCopy,proactiveExplicit,0,0.19031572341918945,0.9456741809844971,0.27335071563720703,0.9193251132965088,156K,1.4M,False,1.43M,1.43M,956.71K bytes/sec,1.00,72.31K,74.14K,49.76K bytes/sec,0.97
2,2,2,12,preCopy,proactiveExplicit,0,0.1923506259918213,0.9612472057342529,0.2733597755432129,0.9357035160064697,136K,1.4M,False,1.44M,1.44M,962.18K bytes/sec,1.00,51.72K,53.53K,36.02K bytes/sec,0.96
2,2,3,13,preCopy,proactiveExplicit,0,0.19115877151489258,0.9494695663452148,0.27347373962402344,0.9348692893981934,136K,1.4M,False,1.44M,1.44M,962.17K bytes/sec,1.00,51.71K,53.53K,36.02K bytes/sec,0.96
2,2,4,14,preCopy,proactiveExplicit,0,0.18742108345031738,0.9489448070526123,0.2715940475463867,0.9383206367492676,136K,1.4M,False,1.44M,1.44M,962.17K bytes/sec,1.00,51.70K,53.51K,36.00K bytes/sec,0.96
2,2,5,15,preCopy,proactiveExplicit,0,0.18851041793823242,0.956162691116333,0.3207590579986572,0.9342136383056641,136K,1.4M,False,1.44M,1.44M,962.17K bytes/sec,1.00,51.71K,53.52K,36.01K bytes/sec,0.96
2,2,6,16,preCopy,proactiveExplicit,0,0.1914975643157959,0.9493749141693115,0.2729055881500244,0.9355065822601318,136K,1.4M,False,1.43M,1.43M,956.71K bytes/sec,1.00,51.70K,53.52K,36.01K bytes/sec,0.96
2,2,7,17,preCopy,proactiveExplicit,0,0.19108200073242188,0.9536776542663574,0.26940226554870605,0.9396748542785645,156K,1.4M,False,1.44M,1.44M,962.17K bytes/sec,1.00,72.33K,74.16K,49.77K bytes/sec,0.97
2,2,8,18,preCopy,proactiveExplicit,0,0.19164681434631348,0.9532997608184814,0.2773168087005615,0.9117522239685059,136K,1.4M,False,1.44M,1.44M,959.44K bytes/sec,1.00,51.71K,53.53K,36.02K bytes/sec,0.96
2,2,9,19,preCopy,proactiveExplicit,0,0.19458699226379395,0.9506406784057617,0.2733306884765625,0.9388296604156494,136K,1.4M,False,1.45M,1.45M,967.66K bytes/sec,1.00,51.74K,53.55K,36.03K bytes/sec,0.96
2,2,10,20,preCopy,proactiveExplicit,0,0.18976473808288574,0.9568841457366943,0.26647281646728516,0.9383666515350342,156K,1.4M,False,1.45M,1.45M,964.92K bytes/sec,1.00,72.34K,74.17K,49.78K bytes/sec,0.97
2,3,1,21,postCopy,proactiveExplicit,0,,,0.15830707550048828,0.932551383972168,696K,,False,,,,,625.16K,627.09K,418.39K bytes/sec,1.00
2,3,2,22,postCopy,proactiveExplicit,0,,,0.15576815605163574,0.9388275146484375,696K,,False,,,,,625.15K,627.07K,418.38K bytes/sec,1.00
2,3,3,23,postCopy,proactiveExplicit,0,,,0.2591118812561035,0.9326930046081543,696K,,False,,,,,625.15K,627.07K,418.38K bytes/sec,1.00
2,3,4,24,postCopy,proactiveExplicit,0,,,0.25740838050842285,0.938657283782959,696K,,False,,,,,625.18K,627.10K,418.40K bytes/sec,1.00
2,3,5,25,postCopy,proactiveExplicit,0,,,0.26410531997680664,0.940803050994873,696K,,False,,,,,625.14K,627.06K,418.37K bytes/sec,1.00
2,3,6,26,postCopy,proactiveExplicit,0,,,0.26474666595458984,0.9305496215820312,696K,,False,,,,,625.17K,627.09K,418.39K bytes/sec,1.00
2,3,7,27,postCopy,proactiveExplicit,0,,,0.25440192222595215,0.9328925609588623,696K,,False,,,,,625.16K,627.08K,418.38K bytes/sec,1.00
2,3,8,28,postCopy,proactiveExplicit,0,,,0.25693631172180176,0.9409453868865967,696K,,False,,,,,625.16K,627.08K,418.38K bytes/sec,1.00
2,3,9,29,postCopy,proactiveExplicit,0,,,0.2568223476409912,0.9487700462341309,696K,,False,,,,,625.17K,627.09K,418.39K bytes/sec,1.00
2,3,10,30,postCopy,proactiveExplicit,0,,,0.25769853591918945,0.9871106147766113,696K,,False,,,,,625.18K,627.11K,418.40K bytes/sec,1.00
2,4,1,31,hybrid,proactiveExplicit,0,0.19316935539245605,0.9384386539459229,0.15845346450805664,0.9244170188903809,112K,1.4M,False,1.45M,1.46M,970.38K bytes/sec,1.00,27.29K,29.12K,19.75K bytes/sec,0.92
2,4,2,32,hybrid,proactiveExplicit,0,0.18890786170959473,0.9493660926818848,0.2531774044036865,0.9425654411315918,108K,1.4M,False,1.45M,1.45M,964.92K bytes/sec,1.00,23.06K,24.90K,16.93K bytes/sec,0.91
2,4,3,33,hybrid,proactiveExplicit,0,0.18993520736694336,0.9423854351043701,0.25772953033447266,0.9375300407409668,112K,1.4M,False,1.44M,1.44M,959.45K bytes/sec,1.00,27.29K,29.11K,19.74K bytes/sec,0.92
2,4,4,34,hybrid,proactiveExplicit,0,0.19048047065734863,0.9370417594909668,0.2517979145050049,0.927997350692749,108K,1.4M,False,1.44M,1.44M,962.18K bytes/sec,1.00,23.01K,24.82K,16.88K bytes/sec,0.91
2,4,5,35,hybrid,proactiveExplicit,0,0.18931865692138672,0.9437217712402344,0.25422120094299316,0.9237475395202637,112K,1.4M,False,1.45M,1.45M,964.93K bytes/sec,1.00,27.30K,29.12K,59.24K bytes/sec,0.92
2,4,6,36,hybrid,proactiveExplicit,0,0.19132113456726074,0.9444658756256104,0.25702595710754395,0.9229686260223389,108K,1.4M,False,1.44M,1.44M,959.44K bytes/sec,1.00,23.02K,24.84K,16.89K bytes/sec,0.91
2,4,7,37,hybrid,proactiveExplicit,0,0.1896352767944336,0.9465231895446777,0.2554817199707031,0.9238989353179932,112K,1.4M,False,1.44M,1.44M,962.18K bytes/sec,1.00,27.27K,29.09K,19.73K bytes/sec,0.92
2,4,8,38,hybrid,proactiveExplicit,0,0.1894533634185791,0.9531641006469727,0.256960391998291,0.7462921142578125,112K,1.4M,False,1.44M,1.44M,962.18K bytes/sec,1.00,27.29K,29.11K,19.73K bytes/sec,0.92
2,4,9,39,hybrid,proactiveExplicit,0,0.1906893253326416,0.9465432167053223,0.25304675102233887,0.9271838665008545,108K,1.4M,False,1.45M,1.46M,970.39K bytes/sec,1.00,23.07K,24.89K,16.93K bytes/sec,0.91
2,4,10,40,hybrid,proactiveExplicit,0,0.19681668281555176,0.950139045715332,0.2590193748474121,0.9269199371337891,112K,1.4M,False,1.44M,1.44M,962.17K bytes/sec,1.00,27.28K,29.09K,19.73K bytes/sec,0.92
2,5,1,41,cold,reactiveExplicit,0,,,0.27852535247802734,0.9517064094543457,1.5M,,False,,,,,1.46M,1.46M,972.84K bytes/sec,1.00
2,5,2,42,cold,reactiveExplicit,0,,,0.2834205627441406,0.9587564468383789,1.5M,,False,,,,,1.46M,1.46M,972.83K bytes/sec,1.00
2,5,3,43,cold,reactiveExplicit,0,,,0.2783851623535156,0.9559800624847412,1.5M,,False,,,,,1.46M,1.46M,972.84K bytes/sec,1.00
2,5,4,44,cold,reactiveExplicit,0,,,0.2770252227783203,0.9546375274658203,1.5M,,False,,,,,1.46M,1.47M,978.32K bytes/sec,1.00
2,5,5,45,cold,reactiveExplicit,0,,,0.2817823886871338,0.9507429599761963,1.5M,,False,,,,,1.46M,1.46M,975.58K bytes/sec,1.00
2,5,6,46,cold,reactiveExplicit,0,,,0.2726144790649414,0.9643802642822266,1.5M,,False,,,,,1.46M,1.46M,972.85K bytes/sec,1.00
2,5,7,47,cold,reactiveExplicit,0,,,0.2800741195678711,0.9570465087890625,1.5M,,False,,,,,1.45M,1.45M,970.11K bytes/sec,1.00
2,5,8,48,cold,reactiveExplicit,0,,,0.279346227645874,0.9469356536865234,1.5M,,False,,,,,1.46M,1.46M,972.83K bytes/sec,1.00
