experiment,run,repetition,restoreTime [s],numberOfLazyPages,lazyPagesTxTime [s],lazyPagesTxEndTime [s]
2,1,1,"['real 0.24', 'user 0.04', 'sys 0.04']",,,
2,1,2,"['real 0.24', 'user 0.04', 'sys 0.04']",,,
2,1,3,"['real 0.25', 'user 0.04', 'sys 0.04']",,,
2,1,4,"['real 0.23', 'user 0.02', 'sys 0.05']",,,
2,1,5,"['real 0.24', 'user 0.03', 'sys 0.06']",,,
2,1,6,"['real 0.25', 'user 0.01', 'sys 0.06']",,,
2,1,7,"['real 0.23', 'user 0.03', 'sys 0.04']",,,
2,1,8,,,,
2,1,9,"['real 0.24', 'user 0.03', 'sys 0.04']",,,
2,1,10,"['real 0.23', 'user 0.04', 'sys 0.05']",,,
2,2,1,"['real 0.23', 'user 0.03', 'sys 0.05']",,,
2,2,2,"['real 0.24', 'user 0.06', 'sys 0.02']",,,
2,2,3,"['real 0.24', 'user 0.05', 'sys 0.04']",,,
2,2,4,"['real 0.26', 'user 0.02', 'sys 0.05']",,,
2,2,5,"['real 0.26', 'user 0.04', 'sys 0.04']",,,
2,2,6,"['real 0.23', 'user 0.04', 'sys 0.04']",,,
2,2,7,"['real 0.25', 'user 0.03', 'sys 0.05']",,,
2,2,8,"['real 0.24', 'user 0.04', 'sys 0.04']",,,
2,2,9,"['real 0.24', 'user 0.04', 'sys 0.05']",,,
2,2,10,"['real 0.25', 'user 0.03', 'sys 0.05']",,,
2,3,1,"['real 0.26', 'user 0.03', 'sys 0.05']",209.0,0.042372999999999994,0.264911
2,3,2,"['real 0.25', 'user 0.04', 'sys 0.04']",206.0,0.04599799999999998,0.271844
2,3,3,"['real 0.25', 'user 0.04', 'sys 0.05']",203.0,0.043158,0.263453
2,3,4,"['real 0.24', 'user 0.04', 'sys 0.05']",207.0,0.04332200000000003,0.255715
2,3,5,"['real 0.25', 'user 0.04', 'sys 0.04']",206.0,0.054723999999999995,0.265187
2,3,6,"['real 0.24', 'user 0.04', 'sys 0.05']",204.0,0.046323999999999976,0.26302
2,3,7,"['real 0.24', 'user 0.04', 'sys 0.05']",205.0,0.04335599999999998,0.252594
2,3,8,"['real 0.22', 'user 0.01', 'sys 0.06']",206.0,0.050315,0.243347
2,3,9,"['real 0.24', 'user 0.04', 'sys 0.05']",202.0,0.055658999999999986,0.261735
2,3,10,"['real 0.25', 'user 0.03', 'sys 0.06']",205.0,0.04702200000000001,0.266629
2,4,1,"['real 0.24', 'user 0.02', 'sys 0.06']",11.0,0.020663999999999988,0.22718
2,4,2,"['real 0.23', 'user 0.03', 'sys 0.05']",7.0,0.01636599999999999,0.213382
2,4,3,"['real 0.27', 'user 0.02', 'sys 0.06']",7.0,0.01588600000000001,0.246536
2,4,4,"['real 0.26', 'user 0.04', 'sys 0.05']",7.0,0.01732699999999998,0.254694
2,4,5,"['real 0.24', 'user 0.03', 'sys 0.05']",7.0,0.015412000000000009,0.221663
2,4,6,"['real 0.25', 'user 0.02', 'sys 0.07']",11.0,0.018112000000000017,0.234777
2,4,7,"['real 0.23', 'user 0.04', 'sys 0.04']",7.0,0.017109000000000013,0.225143
2,4,8,"['real 0.24', 'user 0.05', 'sys 0.03']",12.0,0.02718899999999999,0.229853
2,4,9,"['real 0.25', 'user 0.04', 'sys 0.04']",7.0,0.021346000000000004,0.240674
2,4,10,"['real 0.25', 'user 0.04', 'sys 0.05']",7.0,0.016860000000000014,0.234042
2,5,1,"['real 0.25', 'user 0.03', 'sys 0.05']",,,
2,5,2,"['real 0.24', 'user 0.03', 'sys 0.05']",,,
2,5,3,"['real 0.25', 'user 0.02', 'sys 0.06']",,,
2,5,4,"['real 0.23', 'user 0.03', 'sys 0.05']",,,
2,5,5,"['real 0.24', 'user 0.04', 'sys 0.04']",,,
2,5,6,"['real 0.25', 'user 0.03', 'sys 0.05']",,,
2,5,7,"['real 0.24', 'user 0.03', 'sys 0.05']",,,
2,5,8,"['real 0.24', 'user 0.05', 'sys 0.02']",,,
2,5,9,"['real 0.26', 'user 0.03', 'sys 0.05']",,,
2,5,10,"['real 0.23', 'user 0.04', 'sys 0.05']",,,
2,6,1,"['real 0.27', 'user 0.03', 'sys 0.06']",,,
2,6,2,"['real 0.24', 'user 0.03', 'sys 0.06']",,,
2,6,3,"['real 0.22', 'user 0.03', 'sys 0.05']",,,
2,6,4,"['real 0.24', 'user 0.04', 'sys 0.04']",,,
2,6,5,"['real 0.26', 'user 0.05', 'sys 0.04']",,,
2,6,6,"['real 0.24', 'user 0.02', 'sys 0.06']",,,
2,6,7,"['real 0.25', 'user 0.03', 'sys 0.05']",,,
2,6,8,"['real 0.24', 'user 0.04', 'sys 0.05']",,,
2,6,9,"['real 0.25', 'user 0.02', 'sys 0.06']",,,
2,6,10,"['real 0.27', 'user 0.05', 'sys 0.04']",,,
2,7,1,"['real 0.22', 'user 0.03', 'sys 0.05']",206.0,0.043186999999999975,0.238747
2,7,2,"['real 0.24', 'user 0.03', 'sys 0.05']",204.0,0.04694200000000001,0.252564
2,7,3,"['real 0.25', 'user 0.04', 'sys 0.04']",203.0,0.040006000000000014,0.254114
2,7,4,"['real 0.27', 'user 0.04', 'sys 0.04']",207.0,0.03360000000000002,0.261516
2,7,5,"['real 0.25', 'user 0.04', 'sys 0.04']",205.0,0.04824700000000001,0.255622
2,7,6,"['real 0.23', 'user 0.04', 'sys 0.04']",208.0,0.041825,0.243885
2,7,7,"['real 0.27', 'user 0.02', 'sys 0.06']",203.0,0.04478800000000002,0.286812
2,7,8,"['real 0.23', 'user 0.03', 'sys 0.05']",203.0,0.048173999999999995,0.257812
2,7,9,"['real 0.25', 'user 0.03', 'sys 0.06']",204.0,0.049119000000000024,0.266504
2,7,10,"['real 0.24', 'user 0.03', 'sys 0.05']",204.0,0.045265,0.2526
2,8,1,"['real 0.26', 'user 0.04', 'sys 0.04']",67.0,0.02729999999999999,0.256202
2,8,2,"['real 0.25', 'user 0.06', 'sys 0.03']",66.0,0.03645999999999999,0.255399
2,8,3,"['real 0.27', 'user 0.05', 'sys 0.04']",67.0,0.02493400000000001,0.249305
2,8,4,"['real 0.27', 'user 0.03', 'sys 0.05']",64.0,0.03966000000000003,0.288208
2,8,5,"['real 0.26', 'user 0.04', 'sys 0.04']",67.0,0.032057999999999975,0.262692
2,8,6,"['real 0.25', 'user 0.04', 'sys 0.04']",69.0,0.026303999999999994,0.237609
2,8,7,"['real 0.23', 'user 0.03', 'sys 0.04']",72.0,0.038360000000000005,0.22502
2,8,8,"['real 0.27', 'user 0.03', 'sys 0.05']",65.0,0.03294099999999997,0.257248
2,8,9,"['real 0.25', 'user 0.03', 'sys 0.05']",70.0,0.03497399999999998,0.253725
2,8,10,"['real 0.24', 'user 0.03', 'sys 0.05']",73.0,0.03440099999999999,0.249462
2,9,1,"['real 0.25', 'user 0.04', 'sys 0.04']",,,
2,9,2,"['real 0.23', 'user 0.01', 'sys 0.07']",,,
2,9,3,"['real 0.24', 'user 0.03', 'sys 0.06']",,,
2,9,4,"['real 0.24', 'user 0.02', 'sys 0.06']",,,
2,9,5,"['real 0.22', 'user 0.04', 'sys 0.04']",,,
2,9,6,"['real 0.23', 'user 0.05', 'sys 0.03']",,,
2,9,7,,,,
2,9,8,"['real 0.23', 'user 0.02', 'sys 0.05']",,,
2,9,9,"['real 0.23', 'user 0.02', 'sys 0.06']",,,
2,9,10,"['real 0.23', 'user 0.04', 'sys 0.04']",,,
2,10,1,"['real 0.24', 'user 0.03', 'sys 0.05']",,,
2,10,2,"['real 0.23', 'user 0.05', 'sys 0.04']",,,
2,10,3,"['real 0.26', 'user 0.05', 'sys 0.04']",,,
2,10,4,"['real 0.25', 'user 0.05', 'sys 0.03']",,,
2,10,5,"['real 0.25', 'user 0.04', 'sys 0.04']",,,
2,10,6,"['real 0.25', 'user 0.03', 'sys 0.05']",,,
2,10,7,"['real 0.24', 'user 0.04', 'sys 0.04']",,,
2,10,8,"['real 0.25', 'user 0.04', 'sys 0.04']",,,
2,10,9,"['real 0.26', 'user 0.03', 'sys 0.05']",,,
2,10,10,"['real 0.26', 'user 0.05', 'sys 0.03']",,,
2,11,1,"['real 0.24', 'user 0.04', 'sys 0.04']",208.0,0.049866999999999995,0.253135
2,11,2,"['real 0.23', 'user 0.02', 'sys 0.06']",205.0,0.050915000000000016,0.25312
2,11,3,"['real 0.24', 'user 0.03', 'sys 0.05']",207.0,0.04407700000000003,0.258406
2,11,4,"['real 0.24', 'user 0.03', 'sys 0.05']",203.0,0.051967999999999986,0.256584
2,11,5,"['real 0.27', 'user 0.03', 'sys 0.07']",205.0,0.03979300000000002,0.271463
2,11,6,"['real 0.23', 'user 0.04', 'sys 0.05']",203.0,0.05305500000000002,0.246709
2,11,7,"['real 0.24', 'user 0.03', 'sys 0.06']",206.0,0.04239700000000002,0.25345
2,11,8,"['real 0.22', 'user 0.04', 'sys 0.04']",204.0,0.04231600000000002,0.22606
2,11,9,"['real 0.25', 'user 0.03', 'sys 0.05']",207.0,0.04758200000000001,0.269981
2,11,10,"['real 0.22', 'user 0.04', 'sys 0.04']",203.0,0.049684000000000006,0.238031
2,12,1,"['real 0.22', 'user 0.02', 'sys 0.07']",7.0,0.018809999999999993,0.217441
2,12,2,"['real 0.24', 'user 0.03', 'sys 0.05']",72.0,0.03072999999999998,0.240612
2,12,3,"['real 0.26', 'user 0.05', 'sys 0.04']",69.0,0.03074100000000002,0.266568
2,12,4,"['real 0.25', 'user 0.04', 'sys 0.05']",66.0,0.03257099999999999,0.2493
2,12,5,"['real 0.26', 'user 0.03', 'sys 0.05']",70.0,0.029726999999999976,0.254984
2,12,6,"['real 0.28', 'user 0.02', 'sys 0.06']",70.0,0.027805999999999997,0.270549
2,12,7,"['real 0.25', 'user 0.04', 'sys 0.04']",66.0,0.03153000000000003,0.254958
2,12,8,"['real 0.26', 'user 0.03', 'sys 0.06']",70.0,0.035037999999999986,0.25948
2,12,9,"['real 0.26', 'user 0.03', 'sys 0.06']",68.0,0.028642,0.253147
2,12,10,"['real 0.27', 'user 0.04', 'sys 0.04']",69.0,0.025091000000000002,0.265229
2,13,1,"['real 0.25', 'user 0.03', 'sys 0.05']",,,
2,13,2,"['real 0.23', 'user 0.04', 'sys 0.04']",,,
2,13,3,"['real 0.25', 'user 0.03', 'sys 0.05']",,,
2,13,4,"['real 0.26', 'user 0.04', 'sys 0.04']",,,
2,13,5,"['real 0.26', 'user 0.03', 'sys 0.05']",,,
2,13,6,"['real 0.23', 'user 0.02', 'sys 0.06']",,,
2,13,7,"['real 0.24', 'user 0.03', 'sys 0.05']",,,
2,13,8,"['real 0.24', 'user 0.03', 'sys 0.06']",,,
2,13,9,"['real 0.24', 'user 0.04', 'sys 0.05']",,,
2,13,10,"['real 0.25', 'user 0.05', 'sys 0.03']",,,
2,14,1,"['real 0.24', 'user 0.03', 'sys 0.06']",,,
2,14,2,"['real 0.24', 'user 0.04', 'sys 0.05']",,,
2,14,3,"['real 0.24', 'user 0.03', 'sys 0.05']",,,
2,14,4,"['real 0.25', 'user 0.04', 'sys 0.04']",,,
2,14,5,"['real 0.25', 'user 0.02', 'sys 0.06']",,,
2,14,6,"['real 0.24', 'user 0.04', 'sys 0.04']",,,
2,14,7,"['real 0.24', 'user 0.01', 'sys 0.07']",,,
2,14,8,"['real 0.25', 'user 0.03', 'sys 0.05']",,,
2,14,9,"['real 0.26', 'user 0.02', 'sys 0.06']",,,
2,14,10,"['real 0.25', 'user 0.01', 'sys 0.07']",,,
2,15,1,"['real 0.28', 'user 0.03', 'sys 0.05']",202.0,0.05732799999999996,0.299735
2,15,2,"['real 0.24', 'user 0.04', 'sys 0.04']",204.0,0.05047399999999999,0.26116
2,15,3,"['real 0.25', 'user 0.03', 'sys 0.06']",204.0,0.03911100000000001,0.250672
2,15,4,"['real 0.25', 'user 0.02', 'sys 0.07']",202.0,0.050063000000000024,0.265944
2,15,5,"['real 0.27', 'user 0.02', 'sys 0.06']",205.0,0.04522200000000001,0.279546
2,15,6,"['real 0.26', 'user 0.03', 'sys 0.06']",203.0,0.04850500000000002,0.273867
2,15,7,"['real 0.26', 'user 0.04', 'sys 0.05']",202.0,0.03547300000000003,0.25063
2,15,8,"['real 0.24', 'user 0.03', 'sys 0.05']",203.0,0.044485000000000025,0.252636
2,15,9,"['real 0.27', 'user 0.02', 'sys 0.06']",203.0,0.04306800000000002,0.277071
2,15,10,"['real 0.24', 'user 0.02', 'sys 0.06']",202.0,0.04529899999999998,0.255984
2,16,1,"['real 0.25', 'user 0.03', 'sys 0.06']",68.0,0.029037000000000007,0.231436
2,16,2,"['real 0.25', 'user 0.04', 'sys 0.04']",68.0,0.032497,0.251936
2,16,3,"['real 0.24', 'user 0.03', 'sys 0.05']",69.0,0.03314699999999998,0.248243
2,16,4,"['real 0.26', 'user 0.02', 'sys 0.05']",67.0,0.02465400000000001,0.241908
2,16,5,"['real 0.28', 'user 0.03', 'sys 0.05']",68.0,0.025077000000000016,0.262896
2,16,6,"['real 0.25', 'user 0.04', 'sys 0.04']",69.0,0.033327999999999997,0.249364
2,16,7,"['real 0.22', 'user 0.03', 'sys 0.06']",73.0,0.033609,0.224386
