experiment,run,restoreTime [s],numberOfLazyPages,lazyPagesTxTime [s],lazyPagesTxEndTime [s]
4,1,"['real 0.31', 'user 0.03', 'sys 0.06']",,,
4,1,"['real 0.31', 'user 0.03', 'sys 0.06']",,,
4,1,"['real 0.31', 'user 0.03', 'sys 0.06']",,,
4,1,"['real 0.31', 'user 0.03', 'sys 0.06']",,,
4,1,"['real 0.31', 'user 0.03', 'sys 0.06']",,,
4,1,"['real 0.31', 'user 0.03', 'sys 0.06']",,,
4,1,"['real 0.31', 'user 0.03', 'sys 0.06']",,,
4,1,"['real 0.31', 'user 0.03', 'sys 0.06']",,,
4,1,"['real 0.31', 'user 0.03', 'sys 0.06']",,,
4,1,"['real 0.31', 'user 0.03', 'sys 0.06']",,,
4,1,"['real 0.31', 'user 0.03', 'sys 0.06']",,,
4,1,"['real 0.31', 'user 0.03', 'sys 0.06']",,,
4,1,"['real 0.31', 'user 0.03', 'sys 0.06']",,,
4,1,"['real 0.31', 'user 0.03', 'sys 0.06']",,,
4,1,"['real 0.31', 'user 0.03', 'sys 0.06']",,,
4,1,"['real 0.31', 'user 0.03', 'sys 0.06']",,,
4,1,"['real 0.31', 'user 0.03', 'sys 0.06']",,,
4,1,"['real 0.31', 'user 0.03', 'sys 0.06']",,,
4,1,"['real 0.31', 'user 0.03', 'sys 0.06']",,,
4,1,"['real 0.31', 'user 0.03', 'sys 0.06']",,,
4,1,"['real 0.31', 'user 0.03', 'sys 0.06']",,,
4,1,"['real 0.31', 'user 0.03', 'sys 0.06']",,,
4,1,"['real 0.31', 'user 0.03', 'sys 0.06']",,,
4,1,"['real 0.31', 'user 0.03', 'sys 0.06']",,,
4,1,"['real 0.31', 'user 0.03', 'sys 0.06']",,,
4,1,"['real 0.31', 'user 0.03', 'sys 0.06']",,,
4,1,"['real 0.31', 'user 0.03', 'sys 0.06']",,,
4,1,"['real 0.31', 'user 0.03', 'sys 0.06']",,,
4,1,"['real 0.31', 'user 0.03', 'sys 0.06']",,,
4,1,"['real 0.31', 'user 0.03', 'sys 0.06']",,,
4,2,"['real 0.30', 'user 0.03', 'sys 0.05']",,,
4,2,"['real 0.30', 'user 0.03', 'sys 0.05']",,,
4,2,"['real 0.30', 'user 0.03', 'sys 0.05']",,,
4,2,"['real 0.30', 'user 0.03', 'sys 0.05']",,,
4,2,"['real 0.30', 'user 0.03', 'sys 0.05']",,,
4,2,"['real 0.30', 'user 0.03', 'sys 0.05']",,,
4,2,"['real 0.30', 'user 0.03', 'sys 0.05']",,,
4,2,"['real 0.30', 'user 0.03', 'sys 0.05']",,,
4,2,"['real 0.30', 'user 0.03', 'sys 0.05']",,,
4,2,"['real 0.30', 'user 0.03', 'sys 0.05']",,,
4,2,"['real 0.30', 'user 0.03', 'sys 0.05']",,,
4,2,"['real 0.30', 'user 0.03', 'sys 0.05']",,,
4,2,"['real 0.30', 'user 0.03', 'sys 0.05']",,,
4,2,"['real 0.30', 'user 0.03', 'sys 0.05']",,,
4,2,"['real 0.30', 'user 0.03', 'sys 0.05']",,,
4,2,"['real 0.30', 'user 0.03', 'sys 0.05']",,,
4,2,"['real 0.30', 'user 0.03', 'sys 0.05']",,,
4,2,"['real 0.30', 'user 0.03', 'sys 0.05']",,,
4,2,"['real 0.30', 'user 0.03', 'sys 0.05']",,,
4,2,"['real 0.30', 'user 0.03', 'sys 0.05']",,,
4,2,"['real 0.30', 'user 0.03', 'sys 0.05']",,,
4,2,"['real 0.30', 'user 0.03', 'sys 0.05']",,,
4,2,"['real 0.30', 'user 0.03', 'sys 0.05']",,,
4,2,"['real 0.30', 'user 0.03', 'sys 0.05']",,,
4,2,"['real 0.30', 'user 0.03', 'sys 0.05']",,,
4,2,"['real 0.30', 'user 0.03', 'sys 0.05']",,,
4,2,"['real 0.30', 'user 0.03', 'sys 0.05']",,,
4,2,"['real 0.30', 'user 0.03', 'sys 0.05']",,,
4,2,"['real 0.30', 'user 0.03', 'sys 0.05']",,,
4,2,"['real 0.30', 'user 0.03', 'sys 0.05']",,,
4,3,"['real 0.25', 'user 0.04', 'sys 0.04']",,,
4,3,"['real 0.25', 'user 0.04', 'sys 0.04']",,,
4,3,"['real 0.25', 'user 0.04', 'sys 0.04']",,,
4,3,"['real 0.25', 'user 0.04', 'sys 0.04']",,,
4,3,"['real 0.25', 'user 0.04', 'sys 0.04']",,,
4,3,"['real 0.25', 'user 0.04', 'sys 0.04']",,,
4,3,"['real 0.25', 'user 0.04', 'sys 0.04']",,,
4,3,"['real 0.25', 'user 0.04', 'sys 0.04']",,,
4,3,"['real 0.25', 'user 0.04', 'sys 0.04']",,,
4,3,"['real 0.25', 'user 0.04', 'sys 0.04']",,,
4,3,"['real 0.25', 'user 0.04', 'sys 0.04']",,,
4,3,"['real 0.25', 'user 0.04', 'sys 0.04']",,,
4,3,"['real 0.25', 'user 0.04', 'sys 0.04']",,,
4,3,"['real 0.25', 'user 0.04', 'sys 0.04']",,,
4,3,"['real 0.25', 'user 0.04', 'sys 0.04']",,,
4,3,"['real 0.25', 'user 0.04', 'sys 0.04']",,,
4,3,"['real 0.25', 'user 0.04', 'sys 0.04']",,,
4,3,"['real 0.25', 'user 0.04', 'sys 0.04']",,,
4,3,"['real 0.25', 'user 0.04', 'sys 0.04']",,,
4,3,"['real 0.25', 'user 0.04', 'sys 0.04']",,,
4,3,"['real 0.25', 'user 0.04', 'sys 0.04']",,,
4,3,"['real 0.25', 'user 0.04', 'sys 0.04']",,,
